"sub","alpha_mean_SL00_multiVar_LKJ","alpha_median_SL00_multiVar_LKJ","beta_mean_SL00_multiVar_LKJ","beta_median_SL00_multiVar_LKJ","soc_mean_SL00_multiVar_LKJ","soc_median_SL00_multiVar_LKJ","theta_mean_SL00_multiVar_LKJ","theta_median_SL00_multiVar_LKJ","log_lik_SL00_multiVar_LKJ","waic_SL00_multiVar_LKJ"
90,0.4934547146955,0.4672435,1.73824738583333,1.41012,0.0985565500096433,0.0511636,0.983069990190333,0.840494,-41.4325106166667,84.6925899961527
91,0.176844515261667,0.08472695,8.71785647333333,6.212615,0.03446660209879,0.0143504,1.97040060972558,1.984655,-6.88915109333333,14.8561072330369
92,0.239383209290295,0.235248,4.70856010116667,3.02528,0.5347662680585,0.5424455,2.46574633768333,2.31621,-43.25258065,88.7812641678803
93,0.432794025098333,0.3880315,8.64471889833333,6.4404,0.0327580673425407,0.0137249,2.1990036901225,2.177495,-2.74361140833333,6.87058829566346
94,0.152852203375958,0.01692435,5.94921446623333,3.46629,0.70067880411355,0.755673,1.84118577605,1.48926,-31.3229498,64.6150009894013
95,0.27771451887,0.169718,8.157465555,5.8762,0.0568893491370083,0.0461848,2.46313847847533,2.38455,-10.3890232066667,21.8445171316014
96,0.0496315264230138,0.0070075,8.56083821353333,5.4668,0.14991925357453,0.07646015,1.52428828007017,1.406035,-46.9589360333333,94.2688402818653
97,0.0295697771655,0.0250754,6.81753625833333,4.3651,0.0987996784644471,0.0551684,0.484950031017167,0.3290355,-35.751832,72.7300085202836
98,0.0688595828833282,0.002823345,6.78106285578333,3.758595,0.315409954880283,0.1645105,-0.0636869486846667,-0.30518,-48.3282450166667,98.0437213753149
99,0.212503235535,0.1909185,2.64060900616667,2.4815,0.104845609697622,0.0660097,1.51107464535767,1.46563,-33.0971963833333,67.9081816266108
100,0.0320198364577857,0.002250575,8.34984576025,4.90021,0.201096616911007,0.1103095,1.15545052605956,0.9326905,-49.0638613166667,99.2212208324075
101,0.37670099620674,0.3247555,2.4926294782,1.311795,0.229696054815828,0.194988,1.2834639007675,1.04539,-46.1099720666667,94.4509639624971
102,0.0207560380364633,0.01411955,6.2274861015,3.88404,0.119265883937016,0.05577335,0.658996592617267,0.5061835,-43.5083360833333,87.9828763060036
103,0.251601408433306,0.099275,4.9976472276,2.642765,0.8446333329,0.8820125,2.09933057966667,1.93349,-37.3449009333333,76.2384341228859
104,0.213331514258667,0.09163455,5.455200045,3.68891,0.0408173798256967,0.02047665,1.040844098025,0.8623505,-14.2096793833333,29.5651156824148
105,0.147999738554633,0.1399455,2.01001692898333,1.53829,0.136244294783326,0.0662562,0.183829277807,-0.07840605,-44.13649255,91.037689791709
106,0.301299850376117,0.230236,2.96051034166667,2.40772,0.158891796680262,0.108101,1.63164510414667,1.451865,-37.9484988333333,77.4506863797916
107,0.133054341279833,0.136068,9.74417569883333,8.25328,0.4257203965,0.4223965,2.46366892566667,2.26073,-31.8906368666667,68.2473752158616
108,0.909190944973333,0.9263815,2.31174573933333,2.21395,0.0802471968616348,0.0351185,1.97323158607017,1.90921,-25.3092890333333,52.6824606075869
109,0.0531295851303333,0.03635395,8.872936305,6.25554,0.0552265165934483,0.02672905,1.94289215144667,1.95424,-13.4820547,28.3089116015462
110,0.665915609823167,0.676922,1.97384907483333,1.673525,0.195340902360188,0.176248,2.10829978483217,1.85146,-37.1221100833333,76.0995300007573
111,0.262383884333333,0.2513925,3.22396759866667,2.91935,0.0873662495237117,0.07218495,2.07337834144167,2.021685,-25.1039768666667,51.9297466645446
112,0.1574134886955,0.04680115,8.2984229335,6.00671,0.513579520488483,0.523641,3.30361908858333,3.18334,-27.11945115,57.3070884858212
113,0.50131516466,0.522058,6.60684526166667,4.940795,0.0349977353541517,0.02045805,2.02755822611117,2.01175,-7.26267062666667,15.9811894926164
114,0.0531060284356455,0.003770785,6.67366239371667,3.46528,0.512075313917283,0.531047,-1.53268487204567,-1.56968,-45.9882565666667,95.7437824710546
115,0.0616701806698333,0.04077095,7.924071005,5.391035,0.0291608615672453,0.0131399,0.999453713444833,1.001055,-8.30597763166667,17.7029510222063
116,0.139456727353534,0.100973,3.9458418307,1.673405,0.172315667873696,0.0942741,1.03189702981179,0.8431505,-47.1711822166667,95.8362700117647
117,0.864261829166667,0.8850545,1.4552027905,1.348455,0.0657685757526967,0.0300109,1.24557865087238,1.091205,-37.1554475166667,76.060504219789
118,0.226566193110663,0.1123805,5.11243431213333,3.040065,0.770738943467667,0.7986565,2.98618062233333,2.76205,-16.77533895,35.4383910057544
119,0.0333678354953333,0.01972715,9.51449687333333,6.776485,0.0269092351721022,0.01372675,1.51731974760905,1.50827,-18.2585938833333,38.2330629077527
120,0.715805958818422,0.8636615,2.78855583645,1.64079,0.4351203082643,0.425693,2.12286046296033,1.873685,-39.9222290833333,83.5407419506291
121,0.164736633598178,0.08571625,4.80045078145,2.68488,0.344754130445912,0.3403525,0.920635227976333,0.756276,-47.49815115,96.6512125916083
122,0.0663180162675383,0.0310216,6.17949863283333,3.609475,0.240913641525139,0.215113,1.183862615529,0.945088,-45.0729416833333,91.3485788162592
123,0.489405350816667,0.498461,3.22562522,3.06013,0.0644699966692167,0.0303345,1.67522695785985,1.675435,-18.4777593333333,38.4955189333823
